aapl,320193
msft,789019
goog,1652044
amzn,1018724
tsla,1318605
fb,1326801
ge,40545
brk-a,1067983
tsm,1046179
jpm,19617
v,1403161
unh,731766
hd,354950
jnj,200406
spy,884394
lvmuy,824046
wmt,104169
bac,70858
pg,80424
ma,1141391
baba,1577552
asml,937966
adbe,796343
pfe,78003
orcl,1341439
dis,1744489
nflx,1065280
nke,320187
xom,34088
nvo,353278
avgo,1730168
tmo,97745
tm,1094517
csco,858877
crm,1108524
cost,909832
ko,21344
acn,1467373
abt,1800
lly,59478
pep,77476
dhr,313616
cvx,93410
abbv,1551152
pypl,1633917
cmcsa,1166691
vz,732712
qcom,804328
wfc,72971
intc,50863
mcd,63908
nvda,1045810
ms,895421
mrk,310158
ups,1090727
intu,896878
low,60667
nvs,1114448
shop,1594805
txn,97476
nee,753308
lin,1707925
rds-a,1306965
amd,2488
unp,100885
t,732717
sap,1000184
vwdry,1330306
sony,313838
qqq,1067839
mdt,1613103
schw,316709
ry,1000275
hon,773840
bhp,811809
tmus,1283699
azn,901832
bbl,1171264
blk,1364742
pm,1413329
ul,217410
ptr,1108329
amat,6951
sbux,829224
td,947263
tte,879764
axp,4962
gs,886982
el,1001250
rtx,101829
cvs,64803
bmy,14272
now,1373715
c,831001
se,1703399
amt,1053507
jd,1549802
sny,1121404
deo,835403
amgn,318154
hdb,1144967
ba,12927
hsbc,1089113
pld,1045609
tgt,27419
chtr,1091667
bud,1668717
rtntf,887028
spgi,64040
abnb,1559720
de,315189
cat,18230
ibm,51143
zts,1555280
snow,1640147
gsk,1131399
lfc,1268896
antm,1156039
mrna,1682852
mmm,66740
rio,863064
lrcx,707549
idexy,1438656
infy,1067491
adp,8670
syk,310764
cop,1163165
lmt,936468
adi,6281
mu,723125
bx,1393818
team,1650372
eadsy,1378580
shw,89800
bkng,1075531
bp,313807
cni,16868
bam,1001085
tjx,109198
gm,1467858
gild,882095
mmc,62709
mdlz,1103982
usb,36104
cb,896159
pnc,713676
eqnr,1140625
mo,764180
bti,1303523
sftby,1065521
cci,1051470
sq,1512673
bns,9631
cme,1156375
cta-pa,30554
f,37996
hca,860730
pdd,1737806
tfc,92230
snap,1564408
duk,1326160
itw,49826
enb,895728
ice,1571949
ew,1099800
atlcy,748954
mco,1059556
abb,1091587
pbr,1119639
mrvl,1835632
ci,1739940
nsc,702165
mufg,67088
eqix,1101239
bdx,10795
snp,1123658
regn,872589
bmo,927971
wm,823768
ntes,1110646
uber,1543151
wday,1327811
so,92122
vale,917851
ibn,1103838
njdcy,1158967
fisv,798354
etn,1551182
cof,927628
cl,21665
apd,2969
rblx,1315098
ecl,31462
aon,315293
coin,1679788
fdx,1048911
fis,1136893
race,1648416
glncy,1524684
ubs,1610520
bntx,1776985
amx,1129137
klac,319201
nxpi,1413447
d,715957
relx,929869
psa,1393311
tri,1075124
ifnny,1107457
noc,1133421
adsk,769397
hum,49071
stla,1605484
bsx,885725
gd,40533
sxyay,1575851
rbgly,1420798
meli,1099590
jci,833444
pgr,80661
fcx,831259
info,1598014
lulu,1397187
emr,32604
nio,1736541
chgcy,1453934
zm,1585521
wbk,719245
snps,883241
dxcm,1093557
ilmn,1110803
ddog,1561550
ing,1039765
vrtx,875320
met,1099219
ftnt,1262039
tel,1385157
xlnx,743988
dnngy,1679771
algn,1097149
